species	novel
Prevotella melaninogenica	False
Rothia mucilaginosa	False
Porphyromonas pasteri	False
Prevotella pallens	False
Actinomyces graevenitzii	False
Streptococcus mitis	False
Prevotella histicola	False
Prevotella jejuni	False
Neisseria subflava	False
Porphyromonas endodontalis	False
Simonsiella muelleri	False
Veillonella parvula	False
Prevotella intermedia	False
Rothia dentocariosa	False
Limosilactobacillus fermentum	False
Alloprevotella tannerae	False
Lachnoanaerobaculum orale	False
Stomatobaculum longum	True
Neisseria bacilliformis	True
Lancefieldella rimae	True
